Year,Quarter,Month,Day
2009,Qtr 1,January,1
2009,Qtr 1,January,2
2009,Qtr 1,January,3
2009,Qtr 1,January,4
2009,Qtr 1,January,5
2009,Qtr 1,January,6
2009,Qtr 1,January,7
2009,Qtr 1,January,8
2009,Qtr 1,January,9
2009,Qtr 1,January,10
2009,Qtr 1,January,11
2009,Qtr 1,January,12
2009,Qtr 1,January,13
2009,Qtr 1,January,14
2009,Qtr 1,January,15
2009,Qtr 1,January,16
2009,Qtr 1,January,17
2009,Qtr 1,January,18
2009,Qtr 1,January,19
2009,Qtr 1,January,20
2009,Qtr 1,January,21
2009,Qtr 1,January,22
2009,Qtr 1,January,23
2009,Qtr 1,January,24
2009,Qtr 1,January,25
2009,Qtr 1,January,26
2009,Qtr 1,January,27
2009,Qtr 1,January,28
2009,Qtr 1,January,29
2009,Qtr 1,January,30
2009,Qtr 1,January,31
2009,Qtr 1,February,1
2009,Qtr 1,February,2
2009,Qtr 1,February,3
2009,Qtr 1,February,4
2009,Qtr 1,February,5
2009,Qtr 1,February,6
2009,Qtr 1,February,7
2009,Qtr 1,February,8
2009,Qtr 1,February,9
2009,Qtr 1,February,10
2009,Qtr 1,February,11
2009,Qtr 1,February,12
2009,Qtr 1,February,13
2009,Qtr 1,February,14
2009,Qtr 1,February,15
2009,Qtr 1,February,16
2009,Qtr 1,February,17
2009,Qtr 1,February,18
2009,Qtr 1,February,19
2009,Qtr 1,February,20
2009,Qtr 1,February,21
2009,Qtr 1,February,22
2009,Qtr 1,February,23
2009,Qtr 1,February,24
2009,Qtr 1,February,25
2009,Qtr 1,February,26
2009,Qtr 1,February,27
2009,Qtr 1,February,28
2009,Qtr 1,March,1
2009,Qtr 1,March,2
2009,Qtr 1,March,3
2009,Qtr 1,March,4
2009,Qtr 1,March,5
2009,Qtr 1,March,6
2009,Qtr 1,March,7
2009,Qtr 1,March,8
2009,Qtr 1,March,9
2009,Qtr 1,March,10
2009,Qtr 1,March,11
2009,Qtr 1,March,12
2009,Qtr 1,March,13
2009,Qtr 1,March,14
2009,Qtr 1,March,15
2009,Qtr 1,March,16
2009,Qtr 1,March,17
2009,Qtr 1,March,18
2009,Qtr 1,March,19
2009,Qtr 1,March,20
2009,Qtr 1,March,21
2009,Qtr 1,March,22
2009,Qtr 1,March,23
2009,Qtr 1,March,24
2009,Qtr 1,March,25
2009,Qtr 1,March,26
2009,Qtr 1,March,27
2009,Qtr 1,March,28
2009,Qtr 1,March,29
2009,Qtr 1,March,30
2009,Qtr 1,March,31
2009,Qtr 2,April,1
2009,Qtr 2,April,2
2009,Qtr 2,April,3
2009,Qtr 2,April,4
2009,Qtr 2,April,5
2009,Qtr 2,April,6
2009,Qtr 2,April,7
2009,Qtr 2,April,8
2009,Qtr 2,April,9
2009,Qtr 2,April,10
2009,Qtr 2,April,11
2009,Qtr 2,April,12
2009,Qtr 2,April,13
2009,Qtr 2,April,14
2009,Qtr 2,April,15
2009,Qtr 2,April,16
2009,Qtr 2,April,17
2009,Qtr 2,April,18
2009,Qtr 2,April,19
2009,Qtr 2,April,20
2009,Qtr 2,April,21
2009,Qtr 2,April,22
2009,Qtr 2,April,23
2009,Qtr 2,April,24
2009,Qtr 2,April,25
2009,Qtr 2,April,26
2009,Qtr 2,April,27
2009,Qtr 2,April,28
2009,Qtr 2,April,29
2009,Qtr 2,April,30
2009,Qtr 2,May,1
2009,Qtr 2,May,2
2009,Qtr 2,May,3
2009,Qtr 2,May,4
2009,Qtr 2,May,5
2009,Qtr 2,May,6
2009,Qtr 2,May,7
2009,Qtr 2,May,8
2009,Qtr 2,May,9
2009,Qtr 2,May,10
2009,Qtr 2,May,11
